ALL_GSE132509	AML_GSE116256	BCC_GSE123813_aPD1	BRCA_GSE114727_non_malignant	BRCA_GSE136206_mouse_aPD1aCTLA4	BRCA_GSE138536_non_malignant	CHOL_GSE125449_aPD1aPDL1aCTLA4	CLL_GSE111014_non_malignant	CRC_GSE108989_non_malignant	CRC_GSE136394_non_malignant	CRC_GSE139555_non_malignant	CRC_GSE146771_10X_non	CRC_GSE146771	DLBCL_res	Glioma_GSE135437	Glioma_GSE148842	Glioma_GSE70630	Glioma_GSE84465	Glioma_GSE89567	HNSC_GSE103322	HNSC_GSE139324	KIRC_GSE111360	KIRC_GSE139555	LIHC_GSE125449_aPDL1aCTLA4	LIHC_GSE140228_immune10X	LIHC_GSE140228_immune_Smart	LIHC_GSE98638_immune	MB_GSE119926	NHL_GSE128531.res	NSCLC_EMTAB6149.res	NSCLC_GSE127465.res	NSCLC_GSE131907.res	NSCLC_GSE139555.res	NSCLC_GSE99254.res	OSCC_GSE117872	PAAD_CRA001160.res	SKCM_GSE115978_aPD1.res	SKCM_GSE120575_aPD1aCTLA4.res	SKCM_GSE123139.res	SKCM_GSE148190.res	SKCM_GSE72056.res
OPC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00651733636028325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vascular	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myocyte	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0506620962157223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00135697982762626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Keratinocytes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00384393170867703	0	0	0	0	0	0	0	0	0	0	0	0
Pericytes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Secretory glandular	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alveolar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00431551466234958	0	0	0	0	0	0	0	0	0	0	0
Acinar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00299068894220248	0	0	0	0	0
Ductal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00169494805570141	0	0	0	0	0
Endocrine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stellate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0050577095874375	0	0	0	0	0
